,artist,explicit,name,album,popularity,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,time_signature,valence,tempo,id,query,count
37,ABBA,False,Mamma Mia,Abba,1,0.287,0.75,3,0.754,0.000207,D,0.444,-6.999,major,0.0327,4,0.83,137.533,1,Happy mix,1
38,Wet Willie,False,Keep On Smilin',Keep On Smilin',50,0.0933,0.617,3,0.396,0.000379,G,0.0531,-15.925,major,0.043,4,0.869,102.848,1,Happy mix,1
39,The Rolling Stones,False,Start Me Up - Remastered 2009,Tattoo You (2009 Re-Mastered),75,0.0436,0.631,3,0.932,0.137,F,0.0918,-4.142,major,0.0354,4,0.971,122.429,1,Happy mix,1
40,The Doobie Brothers,False,China Grove,The Captain and Me,64,0.319,0.623,3,0.91,0.000448,A,0.081,-8.448,major,0.0384,4,0.745,145.624,1,Happy mix,1
41,The Cars,False,Just What I Needed,The Cars,69,0.0152,0.619,3,0.579,6.4e-05,E,0.0858,-9.307,major,0.0473,4,0.69,127.224,1,Happy mix,1
42,Chicago,False,25 or 6 to 4 - 2002 Remaster,Chicago II,63,0.309,0.604,4,0.905,0.0632,E,0.0837,-7.059,minor,0.0578,4,0.723,147.448,1,Happy mix,1
43,Boston,False,Peace of Mind,Boston,67,0.00101,0.419,5,0.677,9.99e-05,E,0.211,-6.183,major,0.0343,4,0.684,127.678,1,Happy mix,1
44,The Beatles,False,Twist And Shout - Remastered 2009,Please Please Me (Remastered),73,0.641,0.482,2,0.849,7.74e-06,D,0.0414,-9.198,major,0.0452,4,0.937,124.631,1,Happy mix,1
45,The Spinners,False,Working My Way Back to You,The Very Best of the Spinners,58,0.289,0.818,4,0.768,4.73e-06,A,0.107,-6.975,minor,0.0482,4,0.922,121.562,1,Happy mix,1
46,The Doobie Brothers,False,What a Fool Believes,Minute by Minute,68,0.284,0.758,3,0.378,0.0,G#,0.049,-15.308,minor,0.0449,4,0.985,120.736,1,Happy mix,1
47,Redbone,False,Come and Get Your Love - Single Version,Come and Get Your Love,75,0.172,0.731,3,0.804,0.00028,B,0.0685,-7.621,minor,0.0473,4,0.957,107.383,1,Happy mix,1
48,Sweet,False,Fox On The Run,Desolation Boulevard,58,0.173,0.511,3,0.644,6.17e-05,E,0.0928,-12.191,major,0.0352,4,0.828,128.067,1,Happy mix,1
49,Daryl Hall & John Oates,False,You Make My Dreams (Come True),Voices,76,0.234,0.751,3,0.501,0.112,F,0.0467,-12.151,major,0.0551,4,0.902,167.057,1,Happy mix,1
50,ABBA,False,Waterloo,18 Hits (International Version),0,0.423,0.441,2,0.908,2.88e-06,D,0.325,-6.481,major,0.0425,4,0.808,147.597,1,Happy mix,1
51,The Jackson 5,False,ABC,ABC,0,0.519,0.572,2,0.786,0.00093,G#,0.11,-8.469,major,0.0642,4,0.952,188.115,1,Happy mix,1
52,Blue Swede,False,Hooked On A Feeling,Hooked On A Feeling - 40th Anniversary Collection,63,0.261,0.547,2,0.82,0.0,G#,0.3,-6.728,major,0.0805,4,0.933,118.208,1,Happy mix,1
53,Billy Joel,False,Uptown Girl,The Essential Billy Joel,62,0.0736,0.696,3,0.943,0.0,E,0.653,-2.962,major,0.043,4,0.832,129.002,1,Happy mix,1
54,Elton John,False,Crocodile Rock,Lost & Found: Elton John,0,0.0314,0.62,3,0.668,1.3e-05,E,0.054,-11.594,minor,0.0358,4,0.97,149.718,1,Happy mix,1
55,The Go-Go's,False,We Got The Beat - Single Mix,Return To The Valley Of The Go-Go's,45,0.0496,0.596,2,0.949,0.0231,C#,0.0417,-8.889,minor,0.0356,4,0.646,151.526,1,Happy mix,1
56,Tommy Tutone,False,867-5309 / Jenny,Tommy Tutone - 2,62,0.0264,0.584,3,0.708,0.00364,F,0.112,-10.039,major,0.0593,4,0.564,137.657,1,Happy mix,1
57,Donna Summer,False,Hot Stuff,Bad Girls,0,0.00559,0.823,5,0.743,0.0306,C,0.0707,-13.98,major,0.0316,4,0.966,120.471,1,Happy mix,1
58,Madonna,False,Like a Prayer,Celebration (double disc version),72,0.264,0.624,5,0.842,2.11e-05,F,0.181,-5.285,major,0.0376,4,0.257,111.037,1,Happy mix,1
59,Four Tops,False,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Motown 1960s Volume 1,0,0.197,0.692,2,0.633,0.0,C,0.0929,-7.733,major,0.0291,4,0.965,126.812,1,Happy mix,1
60,The Lovin' Spoonful,False,Do You Believe in Magic?,Do you Believe In Magic,68,0.213,0.553,2,0.738,0.0,C,0.339,-7.963,major,0.0457,4,0.759,138.602,1,Happy mix,1
61,The Beatles,False,Here Comes The Sun - Remastered 2009,Abbey Road (Remastered),81,0.0339,0.557,3,0.54,0.00248,A,0.179,-10.484,major,0.0347,4,0.394,129.171,1,Happy mix,1
62,The Beach Boys,False,Wouldn't It Be Nice,Greatest Hits,59,0.724,0.385,2,0.657,0.0,F,0.105,-6.975,major,0.0342,4,0.672,124.895,1,Happy mix,1
63,Fleetwood Mac,False,Don't Stop - 2004 Remaster,Rumours (Super Deluxe),59,0.0373,0.672,3,0.72,9.38e-06,A,0.0371,-7.781,major,0.035,4,0.828,118.731,1,Happy mix,1
64,Creedence Clearwater Revival,False,Lookin' Out My Back Door,Cosmo's Factory (Expanded Edition),68,0.188,0.745,2,0.656,0.00337,A#,0.0941,-6.393,major,0.0405,4,0.858,105.318,1,Happy mix,1
65,Marvin Gaye,False,I Heard It Through The Grapevine,Every Great Motown Hit Of Marvin Gaye,52,0.199,0.724,3,0.346,0.0,D#,0.111,-11.256,minor,0.0366,4,0.637,117.188,1,Happy mix,1
66,Traveling Wilburys,False,End Of The Line,"The Traveling Wilburys, Vol. 1",72,0.163,0.578,3,0.836,1.36e-06,D,0.0583,-6.607,major,0.0512,4,0.932,167.026,1,Happy mix,1
67,ABBA,False,Dancing Queen,Arrival,1,0.382,0.539,3,0.884,0.00166,A,0.76,-6.53,major,0.0403,4,0.752,100.812,1,Happy mix,1
68,Marvin Gaye,False,Ain't No Mountain High Enough - Mono,Anthology: The Best Of Marvin Gaye,51,0.29,0.62,2,0.813,0.000109,B,0.143,-6.115,minor,0.0307,4,0.832,129.38,1,Happy mix,1
69,John Fogerty,False,Centerfield,Centerfield - 25th Anniversary,62,0.127,0.777,3,0.948,5.36e-06,G,0.0708,-3.648,major,0.0479,4,0.973,142.359,1,Happy mix,1
70,The Beatles,False,I Want To Hold Your Hand - Remastered 2015,1 (Remastered),69,0.386,0.49,2,0.715,0.0,G,0.311,-5.549,major,0.0476,4,0.866,130.726,1,Happy mix,1
71,KC & The Sunshine Band,False,That's the Way (I Like It) - 2004 Remaster,KC & the Sunshine Band,60,0.191,0.68,3,0.877,0.000656,F,0.349,-10.241,minor,0.0353,4,0.922,108.674,1,Happy mix,1
72,Billy Joel,False,Only the Good Die Young,The Stranger,55,0.159,0.579,3,0.872,0.0,C,0.0935,-6.126,major,0.159,4,0.761,76.214,1,Happy mix,1
73,Creedence Clearwater Revival,False,Down On The Corner,Willy And The Poor Boys (Expanded Edition),71,0.583,0.858,2,0.544,0.00109,C,0.0707,-9.289,major,0.0751,4,0.874,108.217,1,Happy mix,1
74,Dire Straits,False,Walk of Life,Brothers in Arms,62,0.435,0.461,4,0.936,9.13e-05,E,0.124,-6.866,major,0.109,4,0.804,172.404,1,Happy mix,1
75,Johnny Nash,False,I Can See Clearly Now - Edit,I Can See Clearly Now,68,0.633,0.681,2,0.373,0.00113,D,0.0751,-13.2,major,0.0568,4,0.623,123.423,1,Happy mix,1
76,The Beach Boys,False,Good Vibrations - Remastered 2001,Good Vibrations 40th Anniversary,61,0.387,0.403,3,0.495,8.03e-06,A#,0.147,-6.888,minor,0.0312,4,0.38,132.912,1,Happy mix,1
77,The Beach Boys,False,I Get Around (Mono),All Summer Long (Mono & Stereo),66,0.36,0.39,2,0.625,0.0,A,0.0663,-7.813,minor,0.0537,4,0.514,144.338,1,Happy mix,1
78,The Romantics,False,What I Like About You,What I Like About You (And Other Romantic Hits),63,0.319,0.542,2,0.915,5.34e-05,A,0.171,-9.637,major,0.0549,4,0.92,159.81,1,Happy mix,1
79,Bob Seger,False,Old Time Rock & Roll,Stranger In Town,73,0.206,0.714,3,0.937,0.0,F#,0.0731,-2.947,major,0.0399,4,0.964,124.13,1,Happy mix,1
80,The Monkees,False,I'm a Believer - 2006 Remaster,More of The Monkees (Deluxe Edition),72,0.707,0.526,2,0.775,2.05e-05,C,0.217,-6.05,major,0.0352,4,0.962,80.106,1,Happy mix,1
81,Three Dog Night,False,Joy To The World,Naturally,69,0.464,0.649,3,0.679,0.00121,D,0.339,-12.515,major,0.0316,4,0.971,126.867,1,Happy mix,1
82,Bay City Rollers,False,I Only Wanna Be with You,Dedication,52,0.35,0.594,3,0.908,2.83e-05,D,0.547,-9.865,major,0.0534,4,0.951,131.83,1,Happy mix,1
83,The Young Rascals,False,Good Lovin' - Single Version,The Rascals: Essentials,16,0.0432,0.263,2,0.714,9.02e-06,D,0.326,-10.935,major,0.0474,4,0.908,196.171,1,Happy mix,1
84,The Doobie Brothers,False,Long Train Runnin',The Captain and Me,70,0.0916,0.575,3,0.912,0.00211,G,0.0562,-7.275,minor,0.0393,4,0.843,117.399,1,Happy mix,1
85,David Bowie,False,Young Americans - 2016 Remaster,Young Americans (2016 Remaster),61,0.171,0.614,5,0.763,0.0,E,0.119,-8.949,minor,0.133,4,0.885,84.236,1,Happy mix,1
86,Whitney Houston,False,I Wanna Dance with Somebody (Who Loves Me),Whitney,0,0.207,0.709,4,0.824,0.000307,C#,0.0888,-8.824,major,0.0453,4,0.867,118.814,1,Happy mix,1
87,Carole King,False,I Feel the Earth Move,Tapestry,62,0.648,0.711,2,0.576,0.00226,G,0.0528,-8.784,minor,0.0305,4,0.644,120.117,1,Happy mix,1
88,Wham!,False,Wake Me up Before You Go-Go,THE FINAL,0,0.192,0.612,3,0.738,0.0,C,0.0779,-6.648,major,0.0479,4,0.883,81.327,1,Happy mix,1
89,Electric Light Orchestra,False,Turn to Stone,Out of the Blue,62,0.0686,0.548,3,0.72,0.000232,C#,0.107,-9.777,minor,0.0409,4,0.458,140.966,1,Happy mix,1
90,Journey,False,Don't Stop Believin',The Essential Journey,71,0.25,0.491,4,0.802,0.0,E,0.387,-7.106,major,0.0392,4,0.472,119.25,1,Happy mix,1
91,Manfred Mann's Earth Band,False,Blinded By The Light (Single edit),The Roaring Silence,0,0.524,0.594,3,0.561,0.00222,F,0.0724,-11.666,major,0.0603,4,0.617,140.286,1,Happy mix,1
92,Stealers Wheel,False,Stuck In The Middle With You,Stealers Wheel,75,0.0936,0.82,3,0.575,0.000135,G,0.109,-9.144,major,0.0408,4,0.964,123.765,1,Happy mix,1
93,Tears For Fears,False,Everybody Wants To Rule The World,Shout: The Very Best Of Tears For Fears,0,0.38,0.687,4,0.886,0.00646,G,0.0702,-8.219,major,0.0485,4,0.467,112.073,1,Happy mix,1
94,Glen Campbell,False,Southern Nights,Southern Nights,69,0.0989,0.697,3,0.813,0.0232,B,0.583,-8.89,minor,0.0315,4,0.85,95.301,1,Happy mix,1
95,The O'Jays,False,Love Train,Back Stabbers,69,0.186,0.743,2,0.572,1.44e-05,C,0.163,-9.627,major,0.0493,4,0.675,122.658,1,Happy mix,1
96,Electric Light Orchestra,False,Mr. Blue Sky,Out of the Blue,79,0.652,0.388,5,0.338,3.73e-06,A#,0.248,-10.054,major,0.0329,4,0.478,177.765,1,Happy mix,1
97,Van Morrison,False,Brown Eyed Girl,Blowin' Your Mind!,78,0.185,0.491,3,0.583,0.0,G,0.406,-10.964,major,0.0376,4,0.908,150.566,1,Happy mix,1
98,Rupert Holmes,False,Escape (The Pina Colada Song),Partners In Crime,74,0.467,0.836,4,0.509,4.1e-06,C,0.0436,-13.668,major,0.0548,4,0.949,138.714,1,Happy mix,1
99,Queen,False,Don't Stop Me Now,Greatest Hits,0,0.057,0.557,3,0.761,0.00109,F,0.567,-9.58,major,0.167,4,0.666,156.442,1,Happy mix,1
0,Jorja Smith,False,Don't Watch Me Cry,Lost & Found,40,0.895,0.526,3,0.161,0.0,C#,0.115,-9.813,major,0.0423,4,0.349,129.928,2,best sad songs,1
1,Clinton Kane,False,I GUESS I'M IN LOVE,I GUESS I'M IN LOVE,79,0.877,0.422,3,0.34,1.77e-05,C,0.149,-6.577,major,0.0351,4,0.223,77.213,2,best sad songs,1
2,Julia Michaels,False,What A Time (feat. Niall Horan),Inner Monologue Part 1,82,0.662,0.516,2,0.467,0.0,C,0.0853,-6.184,major,0.0302,4,0.386,132.861,2,best sad songs,1
3,The Neighbourhood,False,Daddy Issues,Wiped Out!,85,0.0678,0.588,4,0.521,0.149,A#,0.123,-9.461,major,0.0329,4,0.337,85.012,2,best sad songs,1
4,Faouzia,False,Minefields,Minefields,70,0.183,0.476,3,0.686,0.0,C#,0.0997,-5.019,minor,0.11,4,0.243,152.617,2,best sad songs,1
5,Dua Lipa,False,Homesick,Dua Lipa (Deluxe),65,0.948,0.426,3,0.224,0.0,F#,0.112,-8.683,major,0.0391,5,0.399,85.728,2,best sad songs,1
6,Niall Horan,False,This Town,Songs For The Heart Broken,24,0.699,0.678,3,0.407,0.0,A,0.122,-7.778,major,0.0302,4,0.196,111.814,2,best sad songs,1
7,Jamie Grey,False,Arms Around You,Arms Around You,48,0.841,0.53,3,0.271,0.0,B,0.103,-9.847,major,0.0491,4,0.392,101.796,2,best sad songs,1
8,Matt Maeson,False,Cringe,Bank On The Funeral,63,0.0652,0.729,3,0.474,0.0,F,0.0758,-7.724,major,0.0553,4,0.443,126.047,2,best sad songs,1
9,Kina,False,Wish I Was Better,Wish I Was Better,63,0.747,0.732,2,0.304,6.13e-05,C,0.143,-13.086,minor,0.111,4,0.185,139.965,2,best sad songs,1
10,OneRepublic,False,Apologize,Throwback Everyday,22,0.341,0.596,3,0.74,2.05e-05,G#,0.102,-6.127,major,0.0338,4,0.493,118.031,2,best sad songs,1
11,Jack Curley,False,Wait For Me,Wait For Me,0,0.448,0.73,3,0.688,0.0,A#,0.0954,-7.56,minor,0.0307,4,0.694,135.986,2,best sad songs,1
12,JC Stewart,False,I Need You To Hate Me,I Need You To Hate Me,61,0.0298,0.637,2,0.589,0.0,A,0.11,-5.618,minor,0.0352,4,0.376,148.925,2,best sad songs,1
13,Grace Carter,False,Blame,Blame,60,0.781,0.34,4,0.398,6.08e-05,F#,0.193,-8.156,minor,0.0711,3,0.197,171.391,2,best sad songs,1
14,AURORA,False,Runaway,All My Demons Greeting Me As A Friend (Deluxe),57,0.629,0.422,4,0.302,7.83e-05,B,0.104,-9.214,major,0.0372,4,0.123,114.089,2,best sad songs,1
15,Novo Amor,False,Repeat Until Death,Birthplace,69,0.982,0.233,3,0.15,0.36,C#,0.154,-11.736,major,0.0336,3,0.0875,143.887,2,best sad songs,1
16,Lauv,False,Comfortable,I met you when I was 18. (the playlist),61,0.763,0.433,2,0.554,0.0,A,0.0903,-5.629,minor,0.165,3,0.546,140.235,2,best sad songs,1
17,Grand Corps Malade,False,Mesdames,Mesdames,57,0.82,0.444,3,0.542,0.0021,D,0.111,-10.866,major,0.0786,4,0.374,144.925,2,best sad songs,1
18,Ruel,False,Painkiller,Free Time,70,0.0875,0.683,3,0.42,0.0,F,0.225,-6.51,major,0.0542,4,0.469,128.621,2,best sad songs,1
19,SLANDER,False,Love Is Gone - Acoustic,Love Is Gone (Acoustic),78,0.882,0.541,2,0.153,1.66e-06,F#,0.16,-10.654,major,0.0303,4,0.359,139.644,2,best sad songs,1
20,Zara Larsson,False,Uncover,Uncover,62,0.4,0.556,3,0.529,0.0,D,0.268,-4.464,major,0.025,4,0.308,89.887,2,best sad songs,1
21,Olivia Rodrigo,True,drivers license,drivers license,30,0.721,0.585,4,0.436,1.31e-05,A#,0.105,-8.761,major,0.0601,4,0.132,143.874,2,best sad songs,1
22,Adele,False,Turning Tables,21,66,0.95,0.353,4,0.446,1.35e-05,C,0.132,-6.044,minor,0.0285,4,0.211,155.476,2,best sad songs,1
23,SZA,True,Good Days,Good Days,81,0.499,0.436,4,0.655,8.1e-06,C#,0.688,-8.37,minor,0.0583,4,0.412,121.002,2,best sad songs,1
24,Ben Pellow,False,Roslyn,Stories,61,0.946,0.267,5,0.0563,0.00567,C#,0.109,-14.171,major,0.0375,5,0.0709,134.347,2,best sad songs,1
25,Tora,False,Deviate,Can't Buy the Mood,20,0.826,0.617,3,0.476,2.1e-05,D#,0.11,-7.928,minor,0.0335,4,0.273,101.973,2,best sad songs,1
26,James Bay,False,Us,Electric Light,73,0.177,0.559,3,0.473,1.5e-06,C,0.108,-4.147,major,0.0364,4,0.341,69.973,2,best sad songs,1
27,Noah Kahan,True,False Confidence,Busyhead,66,0.163,0.414,3,0.663,0.0,F#,0.138,-7.77,major,0.0456,4,0.33,108.98,2,best sad songs,1
28,Lana Del Rey,False,Cinnamon Girl,Norman Fucking Rockwell!,72,0.814,0.294,5,0.337,0.414,F#,0.14,-10.614,minor,0.036,5,0.135,91.781,2,best sad songs,1
29,SYML,False,Where's My Love,SYML,34,0.854,0.608,3,0.358,0.0186,C,0.113,-10.018,minor,0.0253,4,0.365,103.94,2,best sad songs,1
30,ZAYN,True,PILLOWTALK,Mind Of Mine (Deluxe Edition),77,0.117,0.584,3,0.7,0.0,B,0.0939,-4.275,major,0.0456,4,0.438,124.944,2,best sad songs,1
31,James Arthur,False,Naked,Naked,68,0.104,0.529,3,0.607,0.0,F#,0.0631,-6.781,major,0.0574,4,0.238,101.966,2,best sad songs,1
32,Sia,False,Snowman,Everyday Is Christmas (Deluxe Edition),74,0.483,0.716,2,0.512,0.0,C#,0.0928,-6.257,major,0.0331,3,0.326,104.957,2,best sad songs,1
33,Kurt Hugo Schneider,False,Just A Dream,Just A Dream,61,0.193,0.439,4,0.751,4.61e-05,A,0.0577,-7.632,major,0.0527,4,0.221,164.103,2,best sad songs,1
34,Madison Beer,False,Selfish,Selfish,64,0.627,0.375,3,0.461,0.0,A,0.386,-6.202,major,0.0279,4,0.233,75.217,2,best sad songs,1
35,Cigarettes After Sex,False,Apocalypse,Cigarettes After Sex,78,0.0205,0.37,4,0.467,0.572,F,0.109,-9.013,major,0.0273,4,0.182,94.485,2,best sad songs,1
36,Coyote Theory,False,This Side of Paradise,Color,0,0.386,0.278,4,0.662,1.14e-05,A,0.134,-6.075,major,0.0295,3,0.274,181.683,2,best sad songs,1
37,Ella Eyre,False,We Don't Have To Take Our Clothes Off - Remastered 2015,Feline (Deluxe),66,0.952,0.56,3,0.17,6.75e-06,C,0.107,-9.317,minor,0.0381,4,0.303,94.956,2,best sad songs,1
38,Oh Wonder,False,Landslide,Oh Wonder,60,0.748,0.624,3,0.423,8.18e-05,C#,0.103,-8.757,major,0.0628,4,0.325,81.299,2,best sad songs,1
39,Alessia Cara,False,Scars To Your Beautiful,Know-It-All (Deluxe),74,0.0285,0.319,3,0.739,0.0,C,0.111,-5.74,major,0.272,4,0.449,194.169,2,best sad songs,1
40,Adele,False,Someone Like You,21,3,0.893,0.554,4,0.321,0.0,A,0.0996,-8.251,major,0.028,4,0.288,135.047,2,best sad songs,1
41,Emeli Sandé,False,"Read All About It, Pt. III",Our Version Of Events (Special Edition),65,0.822,0.63,4,0.44,3.87e-06,D,0.0926,-7.186,major,0.0249,4,0.343,98.082,2,best sad songs,1
42,Billie Eilish,False,Bored,Bored,83,0.896,0.614,3,0.318,0.00239,G,0.0795,-12.695,major,0.0478,4,0.112,119.959,2,best sad songs,1
43,Zara Larsson,True,I Can't Fall in Love Without You,So Good,65,0.784,0.485,3,0.332,0.000122,E,0.146,-9.244,major,0.0338,4,0.273,130.813,2,best sad songs,1
44,flora cash,False,You're Somebody Else,"Baby, It's Okay",65,0.847,0.706,3,0.46,0.00793,C#,0.106,-9.061,major,0.0296,4,0.226,102.98,2,best sad songs,1
45,Lewis Capaldi,False,Hold Me While You Wait,Divinely Uninspired To A Hellish Extent,76,0.443,0.688,3,0.53,0.0,B,0.0995,-5.507,major,0.0333,4,0.162,106.958,2,best sad songs,1
46,Zoe Wees,False,Control,Control,75,0.643,0.599,3,0.465,1.57e-06,E,0.149,-4.95,major,0.0314,4,0.0678,113.82,2,best sad songs,1
47,James Arthur,False,Impossible,James Arthur (Deluxe),75,0.135,0.376,3,0.695,0.0,C,0.11,-4.782,minor,0.0933,4,0.302,169.533,2,best sad songs,1
48,Labrinth,False,Jealous,Jealous,3,0.874,0.439,4,0.153,0.0,C#,0.107,-8.95,major,0.0479,3,0.104,116.76,2,best sad songs,1
49,Birdy,False,People Help the People,Birdy (Deluxe Version),53,0.778,0.407,4,0.308,1.46e-05,A#,0.092,-9.001,minor,0.0296,3,0.153,73.254,2,best sad songs,1
